,CB_company_uuid,legal_name,domain,city,status,category_groups_list,num_funding_rounds,total_funding_usd,total_funding,founded_on,last_funding_on,employee_count,raised_amount_usd,acquiree_name,acquirer_name,acquired_on,went_public_on,valuation_price_usd,valuation_price,money_raised_usd,money_raised,CB_people_uuid,person_name,started_on,ended_on,is_current,title,job_type,first_name,last_name,gender,facebook_url,linkedin_url,twitter_url,facebook_url_exists,linkedin_url_exists,twitter_url_exists
28897,dded482b-2095-f4ec-a5c9-3214168f3abb,MedHab LLC,medhab.com,Fort Worth,operating,"Biotechnology,Health Care,Science and Engineering",4.0,1942749.0,1942749.0,2007-01-01,2018-08-20,1-10,1942749.0,,,,,,,,,8e78475d-5c94-4a3a-75ee-a76b4b560efd,Tim Sanghera,,,True,Co-Founder,executive,Tim,Sanghera,male,,,,0,0,0
28911,5471f2a8-7eee-0646-b48c-099f5a35cf67,"Estimote, Inc.",estimote.com,New York,operating,"Data and Analytics,Hardware,Internet Services,Manufacturing,Navigation and Mapping,Platforms,Science and Engineering,Software",8.0,29633260.0,29633260.0,2012-04-01,2017-10-25,11-50,29633260.0,,,,,,,,,c2e187ce-e95a-3808-0fb0-daf7fa23f009,Lukasz Kostka,2012-03-01,,True,Co-Founder & CTO,executive,Lukasz,Kostka,male,,http://www.linkedin.com/in/lukaszkostka,http://twitter.com/ljdk,0,1,1
28912,5471f2a8-7eee-0646-b48c-099f5a35cf67,"Estimote, Inc.",estimote.com,New York,operating,"Data and Analytics,Hardware,Internet Services,Manufacturing,Navigation and Mapping,Platforms,Science and Engineering,Software",8.0,29633260.0,29633260.0,2012-04-01,2017-10-25,11-50,29633260.0,,,,,,,,,38417e3a-2164-bad2-58a9-9697fbb8d39a,Steve Cheney,2013-12-01,2021-01-13,False,Co-Founder & SVP of Business,board_member,Steve,Cheney,male,http://www.facebook.com/steve.cheney,https://www.linkedin.com/in/stevecheney,http://twitter.com/stevecheney,1,1,1
28913,5471f2a8-7eee-0646-b48c-099f5a35cf67,"Estimote, Inc.",estimote.com,New York,operating,"Data and Analytics,Hardware,Internet Services,Manufacturing,Navigation and Mapping,Platforms,Science and Engineering,Software",8.0,29633260.0,29633260.0,2012-04-01,2017-10-25,11-50,29633260.0,,,,,,,,,1578483b-0b12-ba84-c716-4335581ef982,Jakub Krzych,2012-03-01,,True,Co-Founder & CEO,executive,Jakub,Krzych,male,,https://www.linkedin.com/in/krzych,https://twitter.com/jimiasty,0,1,1
28936,25d0d725-d6bb-c041-cb3b-a76c985c72bc,"Lawtrades, Inc.",lawtrades.com,New York,operating,"Apps,Commerce and Shopping,Information Technology,Professional Services,Software",5.0,8660000.0,8660000.0,2014-01-01,2022-01-14,1-10,8660000.0,,,,,,,,,db368995-7c32-22cc-e793-0c44a98bf054,Raad Ahmed,2014-12-01,,True,Founder and CEO,executive,Raad,Ahmed,male,http://www.facebook.com/raad.ahmed,http://www.linkedin.com/in/raadahmed,https://twitter.com/R44D,1,1,1
28937,25d0d725-d6bb-c041-cb3b-a76c985c72bc,"Lawtrades, Inc.",lawtrades.com,New York,operating,"Apps,Commerce and Shopping,Information Technology,Professional Services,Software",5.0,8660000.0,8660000.0,2014-01-01,2022-01-14,1-10,8660000.0,,,,,,,,,c162821d-3817-e9a7-191c-0b6f6544af15,Ashish Walia,2015-10-01,,True,Co-Founder and COO,executive,Ashish,Walia,male,https://www.facebook.com/ashish.walia.54,https://www.linkedin.com/in/ashishwalia1,,1,1,0
28980,a00f3781-7e43-b1e3-3ae9-fae9a7e3f8a7,"Geozoning, Inc.",healthsherpa.com,San Francisco,operating,"Administrative Services,Financial Services,Government and Military,Health Care",1.0,6603829.0,6603829.0,2013-10-14,2017-02-14,11-50,6603829.0,,,,,,,,,e1bbaf9a-d7ff-bb04-43af-e3805a5090be,Ning Liang,2013-10-01,,True,Co-Founder,executive,Ning,Liang,male,http://www.facebook.com/ning.liang,https://www.linkedin.com/in/ningliang,https://twitter.com/ningliang,1,1,1
28987,d60a3f35-30e7-56d3-a2c1-2d204a6570bd,Stayful.com Inc.,stayful.com,San Francisco,operating,"Events,Internet Services,Media and Entertainment,Travel and Tourism",4.0,7804205.0,7804205.0,2013-01-01,2015-11-01,1-10,7804205.0,,,,,,,,,80a1bf31-9572-2e05-f9e1-9b2b5a7e16ab,Cheryl Rosner,2013-01-01,2017-07-01,False,CEO & Co-Founder,executive,Cheryl,Rosner,female,,http://www.linkedin.com/in/cherylrosner,https://twitter.com/cherylrosner,0,1,1
28988,d60a3f35-30e7-56d3-a2c1-2d204a6570bd,Stayful.com Inc.,stayful.com,San Francisco,operating,"Events,Internet Services,Media and Entertainment,Travel and Tourism",4.0,7804205.0,7804205.0,2013-01-01,2015-11-01,1-10,7804205.0,,,,,,,,,6bdd34de-0085-0631-6c41-04b85a1dcbb9,Shariq Minhas,2013-01-01,2019-01-01,False,Co-Founder & Chief Technology Officer,executive,Shariq,Minhas,male,,http://www.linkedin.com/in/shariqminhas,,0,1,0
29013,b733e4d7-3f47-42ac-eee4-db044b6b803d,Roman Health Medical LLC,ro.co,New York,operating,"Health Care,Mobile",9.0,1026100000.0,1026100000.0,2017-01-01,2022-02-15,251-500,1026100000.0,,,,,,,,,ae65ee38-8de2-268a-5ec7-5eee8f6d9fd0,Zachariah Reitano,2017-02-01,,True,Co-Founder and CEO,executive,Zachariah,Reitano,male,,https://www.linkedin.com/in/zachariah-reitano-457b0a37/,http://twitter.com/zreitano,0,1,1
29022,09b14a63-6fa0-f547-4444-a6b834b67a39,"Audentes Therapeutics, Inc.",audentestx.com,San Francisco,acquired,"Biotechnology,Health Care,Science and Engineering",5.0,531400000.0,531400000.0,2013-01-01,2018-10-10,251-500,531400000.0,Audentes Therapeutics,Astellas Pharma,2019-12-02,2016-07-19,,,75000000.0,75000000.0,69c1d845-88a8-0894-fe02-bb9e1aa70e8d,Matthew Patterson,2012-11-01,2018-05-01,False,"Co-Founder , President & CEO",executive,Matthew,Patterson,male,,https://www.linkedin.com/in/matthew-patterson-11011818/,,0,1,0
29023,09b14a63-6fa0-f547-4444-a6b834b67a39,"Audentes Therapeutics, Inc.",audentestx.com,San Francisco,acquired,"Biotechnology,Health Care,Science and Engineering",5.0,531400000.0,531400000.0,2013-01-01,2018-10-10,251-500,531400000.0,Audentes Therapeutics,Astellas Pharma,2019-12-02,2016-07-19,,,75000000.0,75000000.0,be96c166-0747-ffcf-f2e8-333b9a188a15,Thomas Schuetz,2013-07-01,,True,Co-Founder,executive,Thomas,Schuetz,male,,https://www.linkedin.com/in/thomas-schuetz-588191172/,,0,1,0
29024,56385377-3fd7-2989-a946-7b5bef010d10,"Compass Therapeutics, Inc.",compasstherapeutics.com,Boston,ipo,"Biotechnology,Health Care,Science and Engineering",7.0,176512210.0,176512210.0,2014-01-01,2020-07-01,51-100,176512210.0,,,,2021-11-02,,,,,be96c166-0747-ffcf-f2e8-333b9a188a15,Thomas Schuetz,2014-01-01,,True,CEO & Co-Founder,executive,Thomas,Schuetz,male,,https://www.linkedin.com/in/thomas-schuetz-588191172/,,0,1,0
29044,328372d5-3063-4682-a479-2933b319d3c3,"LoanSnap, Inc.",goloansnap.com,San Francisco,operating,Financial Services,4.0,52700000.0,52700000.0,2017-01-01,2021-05-04,51-100,52700000.0,,,,,,,,,5cda25bc-81c0-c720-ecac-a278b9de61b7,Allan Carroll,2016-05-01,,True,Founder & CTO,executive,Allan,Carroll,male,http://www.facebook.com/allanca,http://www.linkedin.com/in/allancarroll,http://twitter.com/allanca,1,1,1
29081,21335edf-6c98-3189-5bc5-a996b27586b4,"Gobiquity, Inc.",gocheckkids.com,Nashville,operating,"Apps,Health Care,Mobile,Software",4.0,22750816.0,22750816.0,2011-01-01,2021-10-19,11-50,22750816.0,,,,,,,,,abd1af17-400b-a424-0d1d-c67e2dd10277,Tommy Tam,2011-07-01,2017-12-01,False,Co-founder & Director of Software Development,executive,Tommy,Tam,male,,https://www.linkedin.com/in/tommyhtam,,0,1,0
29082,21335edf-6c98-3189-5bc5-a996b27586b4,"Gobiquity, Inc.",gocheckkids.com,Nashville,operating,"Apps,Health Care,Mobile,Software",4.0,22750816.0,22750816.0,2011-01-01,2021-10-19,11-50,22750816.0,,,,,,,,,f0c997be-fbc7-7b91-c0ce-63064c8a1aff,David Huang,2011-07-01,,True,Founder & Chief Innovation Officer,executive,David,Huang,male,,https://www.linkedin.com/in/david-huang-869a52/,,0,1,0
29103,fb76eea2-315b-666d-497e-6fd2c9614d46,CARMAX INC,carmax.com,Richmond,ipo,"Commerce and Shopping,Internet Services,Transportation",1.0,98187292.0,98187292.0,1993-01-01,2021-06-08,10000+,98187292.0,,,,1997-01-05,,,437200000.0,437200000.0,fa9b0735-3016-8d6a-4699-f4af1d7430cd,Austin Ligon,1991-01-01,2006-10-31,False,"Co-Founder, President & CEO",executive,Austin,Ligon,male,,https://www.linkedin.com/in/austin-ligon-6256989,https://twitter.com/austinligon,0,1,1
29104,fb76eea2-315b-666d-497e-6fd2c9614d46,CARMAX INC,carmax.com,Richmond,ipo,"Commerce and Shopping,Internet Services,Transportation",1.0,98187292.0,98187292.0,1993-01-01,2021-06-08,10000+,98187292.0,,,,1997-01-05,,,437200000.0,437200000.0,4b5391f9-12b7-945c-81a4-f8c9d84b4d70,Mark F. O'Neil,,,False,Co-Founder,executive,Mark,F. O'Neil,male,,https://www.linkedin.com/in/mark-o-neil-5b449a57,,0,1,0
29144,1bd6c255-6abf-e6af-847d-f95e586a7ffc,VAMP Communications Inc.,thinq.com,Raleigh,operating,"Hardware,Software",3.0,26050000.0,26050000.0,2010-08-01,2018-10-18,11-50,26050000.0,,,,,,,,,2be27c86-1ef8-5660-4b5e-dcc0bc47bc3d,Michael Tindall,2010-08-01,2019-01-01,False,Co-Founder & President,executive,Michael,Tindall,male,,https://www.linkedin.com/in/michaeltindall,https://twitter.com/michaeletindall,0,1,1
29145,1bd6c255-6abf-e6af-847d-f95e586a7ffc,VAMP Communications Inc.,thinq.com,Raleigh,operating,"Hardware,Software",3.0,26050000.0,26050000.0,2010-08-01,2018-10-18,11-50,26050000.0,,,,,,,,,051ab759-31ff-9409-a484-ddce21e4a5ca,Aaron Leon,2010-09-01,,True,Co-Founder and CEO,executive,Aaron,Leon,male,,https://www.linkedin.com/in/aaron-leon-1a8797,,0,1,0
29168,501513bc-97b6-80a6-4620-c07241656a52,"Spire, Inc.",spirehealth.com,San Francisco,operating,"Apps,Consumer Electronics,Hardware,Health Care,Mobile,Software,Sports",7.0,58065106.0,58065106.0,2013-01-01,2021-07-15,11-50,58065106.0,,,,,,,,,6722f5e4-0644-c2d0-cffd-27f03a8fd6fc,Neema Moraveji,2012-07-01,,True,Co-founder & Chief Scientist,executive,Neema,Moraveji,male,,http://www.linkedin.com/in/moraveji/en,https://twitter.com/moraveji,0,1,1
29169,501513bc-97b6-80a6-4620-c07241656a52,"Spire, Inc.",spirehealth.com,San Francisco,operating,"Apps,Consumer Electronics,Hardware,Health Care,Mobile,Software,Sports",7.0,58065106.0,58065106.0,2013-01-01,2021-07-15,11-50,58065106.0,,,,,,,,,1b6c92ab-2669-5f1a-6e1f-c8717de9e23d,Jonathan Palley,2013-01-01,2020-06-01,False,CEO & Co-founder,executive,Jonathan,Palley,male,https://www.facebook.com/jpalley,http://www.linkedin.com/in/jpalley/en,https://twitter.com/jpalley,1,1,1
29187,2d6c7788-711e-1125-8a58-417d8bab5fd0,OptuLink,optulink.com,Naperville,closed,"Information Technology,Privacy and Security,Real Estate,Software",1.0,600000.0,600000.0,2013-01-01,2013-07-06,11-50,600000.0,,,,,,,,,9546d8bc-74b0-0d60-1ec2-7e65a0b1e0ab,Bruce Peterson,,,False,Founder & CEO,executive,Bruce,Peterson,male,,http://www.linkedin.com/pub/bruce-peterson/1/577/403,,0,1,0
29206,9c28a711-55dd-e337-5873-c19911c791d3,"Progressly, Inc.",progressly.com,Redwood City,closed,"Data and Analytics,Information Technology,Internet Services,Mobile,Privacy and Security,Software",1.0,6000000.0,6000000.0,2014-01-01,2016-09-20,11-50,6000000.0,Progressly,Box,2018-06-01,,,,,,cacb1abe-30e7-1e56-c27a-196d9ce1f44e,Nick Candito,2014-01-01,2018-01-01,False,Co-founder & CEO,executive,Nick,Candito,male,https://www.facebook.com/NickCandito,https://www.linkedin.com/in/candito,https://twitter.com/nickcandito,1,1,1
29218,3c8c4e75-f7b6-47cd-9fe9-10263151e909,"GENE FRIEND WAY, INC.",genetica.asia,San Francisco,operating,"Biotechnology,Science and Engineering",1.0,2500000.0,2500000.0,2018-05-16,2021-03-10,51-100,2500000.0,,,,,,,,,7e7f2559-d3b0-4ac0-be36-ad0bad5e74f3,Giang Pham,2018-01-01,,True,Co-Founder and CXO,board_member,Giang,Pham,female,,https://www.linkedin.com/in/giang-pham-2453007/,,0,1,0
29244,ac11a5be-515c-dea0-e5ed-e13162afb1e7,"Tentrr, Inc",tentrr.com,New York,operating,"Sports,Travel and Tourism",6.0,17927483.0,17927483.0,2015-01-01,2021-09-12,11-50,17927483.0,,,,,,,,,93e73faa-ed79-e22b-6fdb-19929aa7d379,Eloise Bune,2015-04-01,,True,Founder,executive,Eloise,Bune,female,http://www.facebook.com/eloise.dagostino,http://www.linkedin.com/in/eloisebune,,1,1,0
29258,7f3b9846-02b8-99f9-90fa-6a22190f0a64,MEDIASPECTRUM INC,mediaspectrum.net,Burlington,operating,"Advertising,Media and Entertainment,Sales and Marketing,Software",1.0,35800000.0,35800000.0,2001-01-01,2013-07-24,51-100,35800000.0,,,,,,,,,0201f0c2-1749-d139-291a-55a4f285b114,Harry J. Flood,2001-01-01,,True,Co-Founder and CFO,executive,Harry,J. Flood,male,,https://www.linkedin.com/in/harry-flood-57597130,,0,1,0
29259,7f3b9846-02b8-99f9-90fa-6a22190f0a64,MEDIASPECTRUM INC,mediaspectrum.net,Burlington,operating,"Advertising,Media and Entertainment,Sales and Marketing,Software",1.0,35800000.0,35800000.0,2001-01-01,2013-07-24,51-100,35800000.0,,,,,,,,,302ec137-79b2-f8ae-b05f-34a2ac6a4a0a,Scott W. Killoh,,,True,Co-Founder and CEO,executive,Scott,W. Killoh,male,,https://www.linkedin.com/in/scott-killoh-9a77b5126/,,0,1,0
29275,a110b96e-875a-a825-4246-75d904e152fa,"Intrinio, Inc.",intrinio.com,Saint Petersburg,operating,"Data and Analytics,Design,Financial Services,Internet Services,Lending and Investments,Software",4.0,7154450.0,7154450.0,2010-01-01,2021-05-19,11-50,7154450.0,,,,,,,,,09dc46d9-6873-2dcf-519e-8dc165c27cab,Rachel Carpenter,2012-09-01,,True,Founder and CEO,executive,Rachel,Carpenter,female,,https://www.linkedin.com/in/rachelacarpenter,https://twitter.com/Rachel_Ann_C,0,1,1
29276,a110b96e-875a-a825-4246-75d904e152fa,"Intrinio, Inc.",intrinio.com,Saint Petersburg,operating,"Data and Analytics,Design,Financial Services,Internet Services,Lending and Investments,Software",4.0,7154450.0,7154450.0,2010-01-01,2021-05-19,11-50,7154450.0,,,,,,,,,24a67c5f-4b30-5af9-5cd3-c02f96e11ec2,Joseph French,2012-04-01,,True,Co-Founder & Board Member,executive,Joseph,French,male,http://www.facebook.com/jfrench009,https://www.linkedin.com/in/josephtfrench/,http://twitter.com/josephtfrench,1,1,1
29297,fa8cc6d3-0ca7-3bd3-73c9-8a392f8c7ef2,"Stem Pharm, Inc",stempharm.com,Madison,operating,"Biotechnology,Health Care,Science and Engineering",5.0,673333.0,673333.0,2015-01-01,2022-01-10,1-10,673333.0,,,,,,,,,f3f950f3-d002-c36e-ae32-e00433b8c1a6,William L. Murphy,,,True,Co-founder & Chief Science Officer,executive,William L.,Murphy,male,,https://www.linkedin.com/in/william-murphy-83352013/,,0,1,0
29300,7d9287bf-9401-4702-5cba-5650ddc25ad5,"Raken, Inc.",rakenapp.com,San Diego,operating,"Mobile,Real Estate,Software",2.0,12000000.0,12000000.0,2014-01-01,2018-06-05,51-100,12000000.0,,,,,,,,,df5934ba-7bb2-05df-2734-8fbf3013c18c,Kyle Slager,2013-02-01,,True,Founder,executive,Kyle,Slager,male,,http://www.linkedin.com/in/kyleslager,https://twitter.com/kyleslager,0,1,1
29336,20b6c595-cae2-63c7-c3c1-b9b3bd84ce05,Divlan Inc.,seratis.com,Philadelphia,acquired,"Data and Analytics,Hardware,Health Care,Information Technology,Mobile",3.0,890000.0,890000.0,2013-04-23,2015-03-09,1-10,890000.0,Seratis,HudlHealth,2016-05-17,,,,,,fd22ac4d-573d-ae79-bfea-e7b1f881b122,Divya Dhar,2013-01-01,2016-05-01,False,Founder & CEO,executive,Divya,Dhar,female,http://www.facebook.com/diyva.dhar,https://www.linkedin.com/in/divyacohen/,http://twitter.com/divyadhar,1,1,1
29337,20b6c595-cae2-63c7-c3c1-b9b3bd84ce05,Divlan Inc.,seratis.com,Philadelphia,acquired,"Data and Analytics,Hardware,Health Care,Information Technology,Mobile",3.0,890000.0,890000.0,2013-04-23,2015-03-09,1-10,890000.0,Seratis,HudlHealth,2016-05-17,,,,,,e875ce7c-7572-a174-9f85-230de78deb30,Lane Rettig,2013-04-01,,True,Founder,executive,Lane,Rettig,male,http://www.facebook.com/lanerettig,http://www.linkedin.com/in/lanerettig,http://twitter.com/lrettig,1,1,1
29346,dfb32e6b-bdc8-f2e6-2ee4-565cf414a86e,PATHEOS INC,patheos.com,Englewood,operating,"Community and Lifestyle,Content and Publishing,Media and Entertainment",5.0,3424336.0,3424336.0,2008-01-01,2014-06-06,101-250,3424336.0,,,,,,,,,43a47b75-4dc8-344d-10c6-ecee994b71b9,Cathie Brunnick,2012-11-01,2017-01-01,False,"Founder, COO, and Board Member",executive,Cathie,Brunnick,female,,https://www.linkedin.com/in/cathie-frazzini-brunnick-868383,https://twitter.com/CBrunnick,0,1,1
29347,dfb32e6b-bdc8-f2e6-2ee4-565cf414a86e,PATHEOS INC,patheos.com,Englewood,operating,"Community and Lifestyle,Content and Publishing,Media and Entertainment",5.0,3424336.0,3424336.0,2008-01-01,2014-06-06,101-250,3424336.0,,,,,,,,,13413524-9238-17a3-c0dd-9183e05bf28d,Leo Brunnick,2008-07-01,2017-03-01,False,CEO and Founder,executive,Leo,Brunnick,male,,https://www.linkedin.com/in/leobrunnick,,0,1,0
29395,26e5d30b-196f-e9d0-728a-41bd4ee99942,DeepField Networks Inc.,deepfield.net,Ann Arbor,closed,"Data and Analytics,Information Technology,Software",2.0,3075000.0,3075000.0,2011-01-01,2015-06-30,11-50,3075000.0,DeepField,Nokia,2016-12-15,,,,,,02a1c454-b819-bb6b-a011-3e4d83d9ffc8,Craig Labovitz,2011-06-01,2017-01-01,False,Co-Founder & Chief Executive Officer,executive,Craig,Labovitz,male,,http://www.linkedin.com/in/labovitc,,0,1,0
29396,26e5d30b-196f-e9d0-728a-41bd4ee99942,DeepField Networks Inc.,deepfield.net,Ann Arbor,closed,"Data and Analytics,Information Technology,Software",2.0,3075000.0,3075000.0,2011-01-01,2015-06-30,11-50,3075000.0,DeepField,Nokia,2016-12-15,,,,,,9e6121f3-f9a6-83a9-ff2d-162c86bbdc4e,Joe Eggleston,2011-01-01,,True,Co-Founder & Chief Technology Officer,executive,Joe,Eggleston,male,,https://www.linkedin.com/in/joeeggleston,,0,1,0
29481,a8342bff-821b-f530-a982-7de1ee101d7e,"Sendbird, Inc.",sendbird.com,San Mateo,operating,"Information Technology,Internet Services,Messaging and Telecommunications,Mobile,Software",9.0,220720000.0,220720000.0,2013-02-03,2022-01-01,101-250,220720000.0,,,,,,,,,1e2c6856-132e-95c2-1dd2-5f6bcd0bc411,Brandon Y Jeon,2018-02-01,,True,Co-Founder & Head of Trust and Safety,executive,Brandon Y,Jeon,male,http://www.facebook.com/jeon.yoonho.9,https://kr.linkedin.com/in/brandonjeon,,1,1,0
29570,b87fbb37-52a9-1a6d-10a6-5b35244dc2bf,Quip LLC,quip.com,San Francisco,acquired,"Consumer Electronics,Hardware,Mobile,Other,Software",2.0,45000000.0,45000000.0,2012-01-01,2015-10-15,11-50,45000000.0,Quip,Salesforce,2016-08-01,,,,,,94742205-a1c6-2469-60bb-542ee5b584d8,Kevin Gibbs,2012-01-01,,True,Co-Founder & CEO,executive,Kevin,Gibbs,male,,http://www.linkedin.com/in/kevgibbs,http://twitter.com/kevgibbs,0,1,1
29610,ac3ee10a-43a1-4fc1-ad53-65b3ae9cc611,"Framed Data, Inc.",framed.io,San Francisco,acquired,"Artificial Intelligence,Data and Analytics,Information Technology,Software",3.0,2120000.0,2120000.0,2013-01-01,2016-06-01,1-10,2120000.0,Framed Data,Square,2016-03-14,,,,,,f96479de-93ce-3380-081c-cdad375aa199,Thomson Nguyen,2013-01-01,2016-01-01,False,Founder/CEO,executive,Thomson,Nguyen,male,http://www.facebook.com/thomson.nguyen,http://www.linkedin.com/in/randomforest,http://twitter.com/itsthomson,1,1,1
29612,ac3ee10a-43a1-4fc1-ad53-65b3ae9cc611,"Framed Data, Inc.",framed.io,San Francisco,acquired,"Artificial Intelligence,Data and Analytics,Information Technology,Software",3.0,2120000.0,2120000.0,2013-01-01,2016-06-01,1-10,2120000.0,Framed Data,Square,2016-03-14,,,,,,e570096c-4ffc-bef5-4283-228ccac49e1f,Elliot Block,2013-01-01,,False,Founder & CTO,executive,Elliot,Block,male,,https://www.linkedin.com/in/elliotblock,,0,1,0
29640,8e0a4128-8e3b-f1dc-a91d-8ae67be43a9a,"Briefcase, LLC",briefca.se,Olathe,closed,"Information Technology,Software",2.0,318000.0,318000.0,2013-03-15,2013-12-17,11-50,318000.0,,,,,,,,,77b259f4-fed8-537c-7f4a-afa8eeb58839,Nick Mallare,2013-03-15,2015-12-31,False,Co-Founder,executive,Nick,Mallare,male,http://www.facebook.com/mallare,http://www.linkedin.com/in/nmallare,http://twitter.com/nmallare,1,1,1
29641,8e0a4128-8e3b-f1dc-a91d-8ae67be43a9a,"Briefcase, LLC",briefca.se,Olathe,closed,"Information Technology,Software",2.0,318000.0,318000.0,2013-03-15,2013-12-17,11-50,318000.0,,,,,,,,,f563b034-be2e-9fe4-3dcd-412b7414833c,Caleb Phillippi,2013-03-15,,False,Co-Founder,executive,Caleb,Phillippi,male,http://www.facebook.com/caleb.phillippi,http://www.linkedin.com/pub/caleb-phillippi/3b/994/773,http://twitter.com/caleb_phillippi,1,1,1
29642,8e0a4128-8e3b-f1dc-a91d-8ae67be43a9a,"Briefcase, LLC",briefca.se,Olathe,closed,"Information Technology,Software",2.0,318000.0,318000.0,2013-03-15,2013-12-17,11-50,318000.0,,,,,,,,,c245fdf0-3b4c-3f0d-b9e9-a2177ab31183,Christian Fisher,2013-03-15,2014-02-28,False,Co-Founder,executive,Christian,Fisher,male,,https://www.linkedin.com/in/christian-fisher-924406113,http://twitter.com/loui415,0,1,1
29698,786d8edc-4161-ee98-9919-377848f92bf5,PIQC Inc,localon.com,San Francisco,operating,"Commerce and Shopping,Other,Sales and Marketing",3.0,295000.0,295000.0,2010-01-01,2013-08-20,11-50,295000.0,,,,,,,,,f5bc0c9b-3ea8-6861-4cf0-ef9f1db0a66d,David Tolioupov,2010-05-01,2018-03-01,False,Founder,executive,David,Tolioupov,male,,https://www.linkedin.com/in/currant,https://twitter.com/tolioupov,0,1,1
29702,786d8edc-4161-ee98-9919-377848f92bf5,PIQC Inc,localon.com,San Francisco,operating,"Commerce and Shopping,Other,Sales and Marketing",3.0,295000.0,295000.0,2010-01-01,2013-08-20,11-50,295000.0,,,,,,,,,afcb15d8-df38-3d7a-9f61-870864592519,Shahbano Imran,,,False,Co-founder & CEO,executive,Shahbano,Imran,female,https://web.facebook.com/shahbano?fref=ts,http://www.linkedin.com/pub/shahbano-imran/11/22/857,https://twitter.com/shabusiness,1,1,1
29742,d89b413f-859b-b961-6abf-7d908d5fa89c,Nimbuz Inc.,odysee.com,San Jose,closed,"Apps,Content and Publishing,Media and Entertainment,Mobile,Software",1.0,761787.0,761787.0,2011-01-01,2013-08-02,unknown,761787.0,Odysee,Google,2015-02-08,,,,,,a8384149-62b2-f904-f668-aa41948a10a0,Raghavan Menon,2011-02-01,,False,Co-Founder,executive,Raghavan,Menon,male,,http://www.linkedin.com/in/raghavanmenon,,0,1,0
29743,e3628879-6deb-8e8a-a69f-a0599007e6da,Espresa,espresa.com,Palo Alto,operating,"Administrative Services,Health Care,Software",5.0,8242387.0,8242387.0,2015-01-01,2021-05-21,11-50,8242387.0,,,,,,,,,a8384149-62b2-f904-f668-aa41948a10a0,Raghavan Menon,2016-06-01,,True,"Co-Founder, CTO & Head of Product",executive,Raghavan,Menon,male,,http://www.linkedin.com/in/raghavanmenon,,0,1,0
29744,d89b413f-859b-b961-6abf-7d908d5fa89c,Nimbuz Inc.,odysee.com,San Jose,closed,"Apps,Content and Publishing,Media and Entertainment,Mobile,Software",1.0,761787.0,761787.0,2011-01-01,2013-08-02,unknown,761787.0,Odysee,Google,2015-02-08,,,,,,650de31f-b199-d2d4-c515-94316f501e26,Shiva Javalagi,,,False,Co-Founder,executive,Shiva,Javalagi,male,,http://in.linkedin.com/pub/shivachandra-javalagi/6/709/a79,,0,1,0
29792,3192983f-124d-f942-044e-74689a97d834,"Exo, Inc.",exoprotein.com,Brooklyn,acquired,"Food and Beverage,Health Care,Sports",4.0,5200000.0,5200000.0,2014-01-01,2016-04-29,1-10,5200000.0,Exo,Aspire Food Group,2018-03-08,,,,,,114a0491-486f-17d9-a858-89afead6fbac,Gabi Lewis,,,True,Founder,executive,Gabi,Lewis,male,https://www.facebook.com/gabi.lewis,https://www.linkedin.com/in/gabi-lewis-88483447,https://twitter.com/lewisgabi,1,1,1
29793,48135f0b-2c88-43bb-ba21-c65c06d25e2c,Magic Spoon Inc.,magicspoon.com,Brooklyn,operating,"Food and Beverage,Sales and Marketing",2.0,14499996.0,14499996.0,2019-01-01,2020-11-17,11-50,14499996.0,,,,,,,,,114a0491-486f-17d9-a858-89afead6fbac,Gabi Lewis,,,True,Co-Founder,executive,Gabi,Lewis,male,https://www.facebook.com/gabi.lewis,https://www.linkedin.com/in/gabi-lewis-88483447,https://twitter.com/lewisgabi,1,1,1
29794,3192983f-124d-f942-044e-74689a97d834,"Exo, Inc.",exoprotein.com,Brooklyn,acquired,"Food and Beverage,Health Care,Sports",4.0,5200000.0,5200000.0,2014-01-01,2016-04-29,1-10,5200000.0,Exo,Aspire Food Group,2018-03-08,,,,,,92439106-c7f2-0c96-7170-3393e2214b40,Greg Sewitz,,,True,Founder,executive,Greg,Sewitz,male,https://www.facebook.com/gregsewitz,https://www.linkedin.com/in/gregsewitz,https://twitter.com/gregsewitz,1,1,1
29795,48135f0b-2c88-43bb-ba21-c65c06d25e2c,Magic Spoon Inc.,magicspoon.com,Brooklyn,operating,"Food and Beverage,Sales and Marketing",2.0,14499996.0,14499996.0,2019-01-01,2020-11-17,11-50,14499996.0,,,,,,,,,92439106-c7f2-0c96-7170-3393e2214b40,Greg Sewitz,,,True,Co-Founder,executive,Greg,Sewitz,male,https://www.facebook.com/gregsewitz,https://www.linkedin.com/in/gregsewitz,https://twitter.com/gregsewitz,1,1,1
29822,d49b961c-1ef1-32c8-e707-84351543ae4a,"Human Longevity, Inc.",healthnucleus100plus.com,San Diego,operating,"Biotechnology,Health Care,Science and Engineering",4.0,330000000.0,330000000.0,2013-01-01,2019-11-07,101-250,330000000.0,,,,,,,,,9cc9f45e-e797-8ec9-42a7-27ddfeedb72a,"Robert J. Hariri, M.D., Ph.D.",2014-01-01,,True,Co-founder & Vice Chairman,executive,Robert J.,"Hariri, M.D., Ph.D.",male,,https://www.linkedin.com/in/drbobhariri,http://twitter.com/HaririRobert,0,1,1
